logz err
658726.177558 1.080679
658723.355218 0.859653
658725.890368 0.951802
658724.423991 0.722344
658723.930722 0.976648
658727.010724 0.945805
658724.488236 1.092466
658719.186485 0.605934
658726.676567 1.093706
658723.370677 0.906520
658724.257178 0.737853
658723.072308 0.780545
658722.102883 1.062412
658728.364588 1.092514
658723.677114 0.889188
658727.916251 1.054004
658726.869217 1.093029
658725.488513 0.683800
658728.934139 1.092054
658726.842129 1.087744
658726.409367 0.940619
658724.584318 0.770735
658728.309715 1.092689
658726.442026 1.071296
658723.457960 0.847561
658720.484531 1.049342
658723.037266 0.964840
658727.074623 1.032770
658721.579837 0.753347
658727.667958 1.090535
658722.297594 0.760454
658721.875367 1.024764
658724.873645 0.721252
658725.539914 0.969437
658722.098479 0.679244
658724.943553 0.812257
658728.765404 1.064715
658724.449371 0.951220
658726.613729 0.880937
658724.230633 1.021891
658723.166350 1.075269
658725.212721 1.058107
658730.820425 1.083839
658729.024234 1.091883
658724.533084 1.087940
658721.832189 0.741992
658727.038659 1.093105
658725.559714 1.093283
658719.451431 0.803574
658723.268047 0.838677
658723.038952 0.803065
658723.989575 0.806234
658724.286924 1.025395
658727.361452 1.034256
658727.119822 1.073221
658726.722831 1.085730
658721.407909 0.865718
658723.635040 0.777450
658723.593116 1.069800
658726.207315 0.864776
658724.942051 1.085480
658724.150395 0.836136
658726.034253 1.091558
658721.279090 1.011312
658723.471110 0.899970
658726.878601 1.091188
658729.353693 1.091116
658724.858304 1.074711
658729.061592 1.091628
658726.722364 0.888517
658724.168371 0.832936
658721.400336 0.934069
658725.646434 1.044082
658725.834821 0.906633
658728.025539 1.092689
658721.852404 0.923503
658724.472031 1.091156
658726.621232 0.918044
658724.855527 1.071124
658723.354460 1.078408
658723.831222 1.062225
658723.885296 1.080995
658727.838307 1.090691
658723.732723 0.782531
658725.494456 1.079786
658723.699882 0.867898
658719.611169 0.736233
658724.279021 0.916777
658723.111137 0.910297
658725.455965 1.089208
658722.322394 0.843271
658727.587099 1.092193
658717.931089 0.949430
658723.609640 0.911622
658727.875532 1.093161
658726.492015 0.936360
658724.019513 1.068972
658724.641919 0.958974
658726.294681 1.093722
658728.600378 1.078725
