logz err
658726.581083 0.109088
658726.399760 0.114498
658726.565380 0.110740
658726.315585 0.118166
658726.487823 0.113877
658726.579387 0.110337
658726.679976 0.108984
658726.487113 0.111864
658726.481432 0.111617
658726.415282 0.115188
658726.508989 0.111763
658726.377129 0.114563
658726.574125 0.109915
658726.390231 0.113204
658726.522942 0.112076
658726.331555 0.116526
658726.538653 0.111911
658726.389384 0.115117
658726.519038 0.112436
658726.431645 0.112993
658726.410165 0.116243
658726.523958 0.111439
658726.475053 0.112288
658726.354689 0.116069
658726.455705 0.112104
658726.332411 0.113739
658726.556813 0.111096
658726.324035 0.117207
658726.529842 0.112486
658726.575785 0.111031
658726.547656 0.113379
658726.485453 0.111570
658726.623645 0.106813
658726.459929 0.112814
658726.338711 0.116191
658726.391557 0.115518
658726.554836 0.110319
658726.595479 0.110481
658726.575667 0.109743
658726.375637 0.114491
658726.423439 0.113269
658726.332835 0.117908
658726.528400 0.111119
658726.334005 0.115736
658726.540371 0.110866
658726.400602 0.112292
658726.586753 0.109601
658726.527111 0.111948
658726.388959 0.113644
658726.512723 0.110313
658726.404341 0.115443
658726.541482 0.111076
658726.345384 0.117633
658726.497489 0.110352
658726.479827 0.111647
658726.456300 0.111428
658726.584822 0.109624
658726.542050 0.111528
658726.558229 0.111027
658726.436156 0.113748
658726.473134 0.112345
658726.576393 0.110297
658726.423590 0.114405
658726.531118 0.110325
658726.348941 0.116096
658726.487361 0.111256
658726.478600 0.113580
658726.445730 0.112495
658726.570484 0.109452
658726.554602 0.111578
658726.400019 0.111782
658726.568101 0.110021
658726.719124 0.104917
658726.501571 0.112873
658726.518980 0.110480
658726.433888 0.113438
658726.396622 0.115149
658726.521105 0.112835
658726.399634 0.114480
658726.455174 0.113779
658726.601085 0.110453
658726.415263 0.113998
658726.572150 0.109086
658726.677504 0.109667
658726.516237 0.110995
658726.596415 0.109071
658726.448473 0.113666
658726.536561 0.112109
658726.570853 0.110842
658726.364801 0.114649
658726.525604 0.110670
658726.496182 0.111964
658726.420502 0.115792
658726.558740 0.111288
658726.686912 0.108507
658726.447017 0.114128
658726.554039 0.112085
658726.561448 0.109464
658726.455819 0.112305
658726.558532 0.110434
