logz err
299488.233018 0.069847
299488.162531 0.078912
299488.075535 0.109317
299488.129619 0.082855
299488.145913 0.092757
299488.163820 0.071809
299488.251161 0.064657
299488.191725 0.070453
299488.213116 0.074025
299488.243452 0.065147
299488.146459 0.097594
299488.144467 0.099552
299488.069364 0.117261
299488.143906 0.087880
299488.139906 0.089260
299488.130388 0.089307
299488.146596 0.082371
299488.150623 0.083817
299488.116526 0.104466
299488.179218 0.092936
299488.208445 0.070452
299488.093794 0.114505
299488.136542 0.094292
299488.162838 0.082833
299488.188998 0.068980
299488.179481 0.074133
299488.254810 0.064546
299488.126303 0.095100
299488.115711 0.102020
299488.224113 0.066993
299488.176571 0.073683
299488.097906 0.104114
299488.150593 0.084942
299488.166334 0.091241
299488.204774 0.067275
299488.160033 0.074418
299488.165594 0.099116
299488.160385 0.089648
299488.204867 0.070492
299488.146854 0.109438
299488.041066 0.123202
299488.236519 0.065483
299488.028196 0.127886
299488.202829 0.072268
299488.164790 0.073150
299488.106163 0.105980
299488.190974 0.076231
299488.064201 0.126188
299488.231147 0.068306
299488.174390 0.074323
299488.225630 0.066816
299488.104398 0.098762
299488.067653 0.121808
299488.087216 0.099640
299488.203654 0.069106
299488.112329 0.095659
299488.062143 0.112426
299488.174494 0.077750
299488.206888 0.070902
299488.184929 0.075216
299488.104099 0.114976
299488.211731 0.067743
299488.173485 0.074613
299488.149464 0.079241
299488.113171 0.097842
299488.150773 0.084095
299488.063926 0.101456
299488.123358 0.098977
299488.179139 0.074392
299488.035679 0.128657
299488.221731 0.067937
299488.142595 0.092928
299488.093994 0.100416
299488.187931 0.088866
299488.158821 0.073550
299488.182947 0.076652
299488.233246 0.066796
299488.180284 0.073695
299488.133705 0.090754
299488.107215 0.096931
299488.148675 0.092979
299488.150683 0.074763
299488.222492 0.068223
299488.160200 0.090355
299488.153449 0.087492
299488.099549 0.132861
299488.209384 0.070381
299487.968430 0.149711
299488.098337 0.104902
299488.071396 0.114294
299488.184741 0.073986
299488.174618 0.088120
299488.033907 0.146145
299488.050931 0.136988
299488.047357 0.096441
299488.108673 0.088565
299488.051057 0.101642
299488.228893 0.066092
299488.157573 0.090821
299488.003186 0.152900
