logz err
120633.403265 0.108988
120633.286228 0.147728
120633.441508 0.070671
120633.471516 0.058934
120633.482337 0.059376
120633.461378 0.055060
120633.450477 0.071055
120633.374193 0.109782
120633.503249 0.051434
120633.525685 0.050522
120633.393316 0.119618
120633.458799 0.063696
120633.481625 0.063737
120633.516556 0.051042
120633.304808 0.157975
120633.493210 0.052396
120633.512209 0.050179
120633.504261 0.051224
120633.484687 0.053090
120633.510000 0.050649
120633.390233 0.135694
120633.416638 0.122050
120633.366433 0.124800
120633.482700 0.052445
120633.391882 0.118887
120633.512305 0.051636
120633.510127 0.050660
120633.380245 0.123078
120633.522400 0.051011
120633.501185 0.051356
120633.506330 0.050932
120633.458503 0.073602
120633.499973 0.051775
120633.509139 0.050300
120633.500193 0.051255
120633.407813 0.109705
120633.490129 0.052291
120633.484818 0.054580
120633.432145 0.097359
120633.471532 0.060157
120633.488974 0.057116
120633.519512 0.050977
120633.456669 0.062461
120633.508909 0.051190
120633.501542 0.052490
120633.498261 0.051263
120633.379630 0.142691
120633.497598 0.052132
120633.319456 0.147585
120633.495776 0.050974
120633.316110 0.151727
120633.404808 0.133276
120633.483664 0.054305
120633.507470 0.050217
120633.476671 0.054478
120633.445024 0.081502
120633.377102 0.123886
120633.481430 0.057579
120633.368769 0.140688
120633.505171 0.051199
120633.389863 0.143822
120633.501065 0.057327
120633.491713 0.053794
120633.300198 0.139835
120633.488653 0.056267
120633.492112 0.054020
120633.496816 0.054441
120633.466498 0.061718
120633.495971 0.055337
120633.510334 0.051170
120633.509090 0.050412
120633.514500 0.050528
120633.453740 0.071563
120633.370984 0.107946
120633.496061 0.052456
120633.476674 0.062858
120633.509144 0.051031
120633.495731 0.051232
120633.521060 0.050905
120633.489237 0.052810
120633.364642 0.130614
120633.354126 0.169081
120633.417073 0.108605
120633.500930 0.051147
120633.303592 0.164653
120633.415140 0.099427
120633.402175 0.134992
120633.495425 0.052629
120633.475693 0.056386
120633.431898 0.086849
120633.401305 0.105004
120633.470091 0.061053
120633.443327 0.077229
120633.467412 0.058815
120633.322857 0.142034
120633.512827 0.050715
120633.466150 0.060165
120633.485592 0.056910
120633.363026 0.136704
120633.515927 0.051052
