logz err
805859.453875 0.339144
805859.535800 0.337004
805859.470848 0.337472
805859.437865 0.338790
805859.457400 0.337514
805859.484251 0.336998
805859.484674 0.337365
805859.459383 0.336866
805859.419545 0.338397
805859.409256 0.337310
805859.493513 0.338530
805859.452824 0.336685
805859.451065 0.337346
805859.462434 0.338714
805859.462030 0.336707
805859.530215 0.337573
805859.446355 0.337811
805859.321619 0.341654
805859.436723 0.337180
805859.506334 0.338089
805859.482660 0.336505
805859.396676 0.338665
805859.351465 0.339640
805859.517020 0.337772
805859.436711 0.339587
805859.374850 0.338485
805859.386707 0.337927
805859.418919 0.338423
805859.443363 0.338387
805859.487015 0.338228
805859.477926 0.338710
805859.498805 0.336557
805859.422432 0.338094
805859.502529 0.337337
805859.508702 0.338035
805859.478226 0.339247
805859.495110 0.337569
805859.464063 0.336546
805859.468728 0.337356
805859.488496 0.337011
805859.487119 0.338250
805859.435743 0.337528
805859.497335 0.337084
805859.541089 0.335723
805859.479802 0.336565
805859.378970 0.339181
805859.577980 0.324393
805859.507017 0.338180
805859.463323 0.336967
805859.400239 0.339592
805859.462969 0.336790
805859.420742 0.337438
805859.425000 0.339606
805859.519206 0.338060
805859.532629 0.336468
805859.407138 0.338923
805859.467489 0.338635
805859.471136 0.338794
805859.487648 0.337612
805859.434498 0.337240
805859.589996 0.336071
805859.462203 0.337980
805859.405575 0.337552
805859.434326 0.337516
805859.514186 0.338811
805859.486522 0.338357
805859.438056 0.338506
805859.442619 0.338834
805859.470307 0.338989
805859.523531 0.337185
805859.494240 0.338778
805859.441579 0.336140
805859.535977 0.336660
805859.476047 0.336962
805859.552602 0.335474
805859.416132 0.339499
805859.426392 0.337255
805859.483418 0.338507
805859.495172 0.336138
805859.454409 0.337091
805859.434587 0.337625
805859.411267 0.337035
805859.309788 0.342107
805859.318047 0.340725
805859.508468 0.337644
805859.511008 0.336666
805859.442732 0.336853
805859.382884 0.339213
805859.484050 0.338063
805859.508861 0.336929
805859.480133 0.337763
805859.410878 0.338201
805859.423730 0.338530
805859.415272 0.337422
805859.406642 0.337696
805859.464135 0.337145
805859.408208 0.339547
805859.463723 0.339097
805859.543962 0.336911
805859.475441 0.338315
