logz err
7973033.748421 0.338614
7973033.807525 0.342438
7973033.708825 0.325146
7973033.259619 0.331495
7973033.493935 0.328508
7973033.468566 0.355770
7973033.775770 0.329420
7973033.558202 0.352616
7973033.788539 0.341609
7973034.242656 0.291314
7973033.764249 0.381445
7973033.677501 0.302836
7973033.415437 0.364340
7973033.383970 0.360448
7973033.763050 0.345753
7973033.366623 0.424301
7973033.290208 0.412278
7973032.564017 0.508724
7973033.623021 0.324392
7973033.371082 0.405781
7973033.623234 0.309316
7973033.438001 0.355895
7973033.618381 0.378635
7973033.271959 0.353598
7973033.936141 0.287488
7973033.180464 0.417064
7973032.873955 0.476255
7973033.528039 0.345345
7973034.121347 0.271799
7973033.666607 0.316691
7973033.801067 0.336496
7973033.580742 0.355556
7973032.757944 0.511261
7973033.642076 0.368939
7973033.646585 0.338932
7973033.736901 0.352561
7973033.083312 0.461999
7973034.048319 0.260061
7973033.736844 0.326293
7973033.594330 0.381758
7973033.902094 0.292764
7973033.561381 0.410748
7973034.077577 0.283802
7973033.596632 0.391298
7973033.725019 0.335355
7973033.395922 0.387716
7973033.530521 0.391531
7973033.893742 0.336423
7973033.947236 0.317514
7973033.115340 0.417043
7973033.755580 0.341529
7973033.477283 0.439993
7973033.410054 0.420494
7973033.027464 0.479222
7973033.952927 0.273089
7973032.671072 0.451079
7973033.033070 0.435981
7973033.738715 0.345279
7973033.703753 0.309716
7973033.794616 0.374067
7973033.839055 0.332561
7973033.788545 0.318469
7973033.729006 0.337174
7973033.662042 0.300661
7973033.618469 0.343445
7973033.457930 0.347389
7973033.417466 0.389067
7973033.606621 0.346371
7973034.066730 0.294250
7973033.909567 0.309766
7973033.155450 0.421170
7973033.564426 0.316754
7973033.142664 0.452843
7973033.064428 0.470655
7973033.670722 0.343456
7973033.909276 0.330046
7973033.720605 0.395688
7973033.248626 0.440672
7973033.907194 0.322842
7973033.356711 0.362525
7973032.639165 0.505638
7973033.750405 0.323617
7973033.590547 0.332400
7973033.622246 0.309842
7973033.185759 0.430969
7973033.721278 0.324974
7973033.574576 0.340520
7973033.018786 0.460074
7973033.752300 0.381758
7973033.866275 0.318788
7973033.220657 0.449860
7973033.194696 0.397818
7973033.723924 0.316922
7973033.521400 0.365139
7973033.700012 0.334902
7973033.642768 0.321952
7973033.447109 0.356826
7973033.217804 0.461237
7973033.669693 0.364116
7973033.377486 0.443875
