logz err
658726.242351 0.261112
658726.806005 0.221542
658726.513141 0.244567
658726.661078 0.231283
658726.438358 0.246206
658726.618128 0.224717
658726.432189 0.252727
658726.656608 0.233465
658726.753258 0.235688
658726.672368 0.226466
658726.755450 0.225783
658726.490723 0.255414
658726.727377 0.237811
658726.426545 0.254371
658726.552940 0.231697
658726.404314 0.252762
658726.226394 0.269934
658726.501126 0.250248
658726.699232 0.230299
658726.458009 0.243407
658726.514118 0.238812
658726.458365 0.254939
658726.451817 0.244679
658726.709019 0.232296
658726.546019 0.247423
658726.677418 0.233116
658726.412873 0.256839
658726.734778 0.227133
658726.526177 0.243482
658726.304819 0.265368
658726.652137 0.239812
658726.628914 0.234044
658726.825873 0.222520
658726.508367 0.234335
658726.538100 0.241628
658726.368575 0.253940
658726.563891 0.242130
658726.417828 0.256466
658726.456634 0.246818
658726.338127 0.251486
658726.547046 0.236320
658726.631752 0.243254
658726.444182 0.245191
658726.451486 0.246969
658726.418204 0.242164
658726.595367 0.226558
658726.517421 0.241602
658726.726945 0.227115
658726.823901 0.229389
658726.422437 0.252800
658726.743914 0.227262
658726.392489 0.243795
658726.414944 0.251374
658726.357336 0.265910
658726.537867 0.244505
658726.593490 0.237186
658726.372098 0.248977
658726.207796 0.273232
658726.572506 0.243808
658726.385091 0.250566
658726.469387 0.250744
658726.210531 0.268158
658726.368159 0.255024
658726.744380 0.232086
658726.346303 0.243309
658726.470454 0.252403
658726.345499 0.263538
658726.798293 0.228716
658726.758406 0.230321
658726.300226 0.253765
658726.605082 0.233182
658726.577315 0.239515
658726.427522 0.251893
658726.097921 0.280573
658726.196599 0.259328
658726.477733 0.244588
658726.579196 0.237574
658726.427570 0.261233
658726.577132 0.235214
658726.390116 0.247657
658726.568949 0.241163
658726.665577 0.240377
658726.665011 0.242417
658726.661171 0.228443
658726.652040 0.232735
658726.609386 0.244168
658726.739328 0.242682
658726.336304 0.252840
658726.669100 0.231097
658726.554079 0.237928
658726.115863 0.276102
658726.929646 0.222379
658726.549215 0.241799
658726.519645 0.242422
658726.637283 0.237024
658726.154994 0.271283
658726.477994 0.241837
658726.675535 0.224387
658726.601628 0.236701
658726.316219 0.262428
