logz err
535438.550889 0.567468
535438.981201 0.581342
535438.898415 0.575787
535439.139424 0.556821
535439.547571 0.498007
535438.717788 0.547490
535438.813908 0.621709
535438.415744 0.728254
535438.131607 0.636890
535439.631572 0.528181
535439.016268 0.559096
535438.943254 0.573622
535438.574962 0.701883
535438.827886 0.635631
535438.595086 0.574613
535438.553041 0.628512
535439.438910 0.523080
535439.417168 0.504187
535438.695609 0.613962
535438.453100 0.558513
535439.295064 0.562763
535439.024679 0.556838
535439.172914 0.552040
535438.849592 0.572302
535438.777281 0.583489
535439.790453 0.496309
535439.094352 0.610407
535439.043897 0.574903
535438.810339 0.603028
535438.613575 0.624445
535439.387801 0.503363
535438.959693 0.634039
535438.318810 0.585839
535439.627651 0.512553
535438.521219 0.666916
535439.303209 0.532548
535439.358373 0.544107
535437.958131 0.679460
535439.072765 0.560139
535438.693560 0.684304
535438.477124 0.639625
535438.952883 0.583274
535438.451090 0.611810
535438.919537 0.680668
535439.094541 0.552987
535438.897191 0.610924
535439.504005 0.496118
535439.123258 0.582667
535439.426383 0.520590
535439.141488 0.608619
535438.619911 0.666983
535439.346981 0.538342
535439.199329 0.548231
535438.340155 0.720934
535439.230026 0.584934
535438.598302 0.566929
535438.777750 0.585020
535438.089127 0.576334
535438.810001 0.550318
535438.471455 0.557268
535439.374726 0.558452
535438.448208 0.652360
535439.493969 0.492813
535438.840858 0.493869
535439.141426 0.526251
535439.857953 0.518900
535438.905390 0.563863
535438.826657 0.568665
535439.214172 0.539901
535438.726240 0.627985
535439.317795 0.553856
535439.177186 0.522403
535438.947477 0.578478
535438.832246 0.586636
535438.259744 0.600276
535438.907388 0.643370
535438.876731 0.613978
535438.393113 0.545226
535439.251840 0.565140
535438.946593 0.591473
535438.734714 0.548789
535439.300051 0.508574
535439.180935 0.535692
535439.246166 0.550901
535438.750509 0.639101
535438.584671 0.658906
535438.511600 0.647071
535439.095126 0.622671
535438.306598 0.696971
535438.818099 0.583145
535439.403566 0.504286
535438.847319 0.545769
535439.271738 0.606490
535439.846411 0.466826
