logz err
7973039.042281 0.411362
7973038.603217 0.474539
7973038.853938 0.409349
7973039.565755 0.276111
7973038.638790 0.465660
7973038.510656 0.486316
7973039.138968 0.392486
7973038.999127 0.433927
7973038.965507 0.545807
7973039.437918 0.374629
7973038.624915 0.537625
7973039.088033 0.369699
7973039.350694 0.303453
7973038.573552 0.503441
7973038.939923 0.383803
7973038.666548 0.446546
7973039.541972 0.251921
7973039.267446 0.342265
7973039.174381 0.345688
7973039.187035 0.313381
7973039.132064 0.371219
7973038.638445 0.486486
7973039.427639 0.318939
7973039.196080 0.443294
7973039.074164 0.380547
7973039.395649 0.351375
7973038.791581 0.456311
7973039.233710 0.294816
7973039.211690 0.372786
7973039.287027 0.346818
7973039.117097 0.455411
7973039.067632 0.367492
7973038.933282 0.399592
7973038.924522 0.387299
7973039.392082 0.372678
7973039.356944 0.310324
7973038.325330 0.614510
7973039.044745 0.415160
7973039.430070 0.338804
7973039.175473 0.330991
7973038.794878 0.456530
7973039.210448 0.343343
7973038.840736 0.517050
7973038.744630 0.508005
7973039.358118 0.326315
7973038.828736 0.375500
7973039.000961 0.369627
7973039.207803 0.382562
7973038.951518 0.503990
7973038.880188 0.392430
7973038.398735 0.502714
7973038.776401 0.368861
7973039.311086 0.356719
7973038.230924 0.561177
7973038.764324 0.475676
7973038.798501 0.479916
7973039.192128 0.320935
7973039.424635 0.309528
7973039.251207 0.393638
7973039.360707 0.334798
7973039.121337 0.337213
7973038.931611 0.400978
7973038.601900 0.504124
7973039.086460 0.465313
7973039.030640 0.428350
7973038.776432 0.429134
7973038.858571 0.469032
7973039.486753 0.342998
7973038.717039 0.513225
7973039.171290 0.308899
7973038.928843 0.442478
7973038.806720 0.426372
7973038.914959 0.460193
7973039.146643 0.327295
7973038.676727 0.373197
7973038.668807 0.492447
7973039.403994 0.284839
7973038.701718 0.420082
7973038.836086 0.414858
7973039.041258 0.336558
7973039.037189 0.369608
7973038.991118 0.433233
7973039.065250 0.323186
7973039.022619 0.332606
7973039.337283 0.341744
7973038.824274 0.419801
7973039.113269 0.421126
7973039.088518 0.379204
7973038.793608 0.423946
7973038.768923 0.395444
7973038.859076 0.441858
7973039.085725 0.437161
7973039.034537 0.398625
7973039.305466 0.341364
7973039.338746 0.334720
7973039.416665 0.348680
7973039.330519 0.302463
7973039.190766 0.329129
7973037.659168 0.648262
7973038.873973 0.363400
